rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,1,39.797,-2.74729,-2.74729,0,All,#4682B4,0
2,1,1,40.5512,-2.80905,-2.80905,0,All,#4682B4,0
3,1,1,43.3934,-3.03192,-3.03192,0,All,#4682B4,0
4,1,1,42.9942,-3.00151,-3.00151,0,All,#4682B4,0
5,1,1,40.8283,-2.83145,-2.83145,0,All,#4682B4,0
6,1,1,44.75,-3.13319,-3.13319,0,All,#4682B4,0
7,1,1,43.5637,-3.0448,-3.0448,0,All,#4682B4,0
8,1,1,43.5495,-3.04373,-3.04373,0,All,#4682B4,0
9,1,1,40.7607,-2.826,-2.826,0,All,#4682B4,0
10,1,1,39.7357,-2.74221,-2.74221,0,All,#4682B4,0
11,1,1,43.8058,-3.06304,-3.06304,0,All,#4682B4,0
12,1,1,42.2608,-2.94491,-2.94491,0,All,#4682B4,0
13,1,1,41.4418,-2.88052,-2.88052,0,All,#4682B4,0
14,1,1,43.325,-3.02673,-3.02673,0,All,#4682B4,0
15,1,1,43.6131,-3.04854,-3.04854,0,All,#4682B4,0
16,1,1,42.7912,-2.98594,-2.98594,0,All,#4682B4,0
17,1,1,39.5396,-2.72594,-2.72594,0,All,#4682B4,0
18,1,1,40.5864,-2.81191,-2.81191,0,All,#4682B4,0
19,1,1,44.0452,-3.08097,-3.08097,0,All,#4682B4,0
20,1,1,44.2494,-3.09619,-3.09619,0,All,#4682B4,0
21,1,1,41.4492,-2.88111,-2.88111,0,All,#4682B4,0
22,1,1,41.6082,-2.89371,-2.89371,0,All,#4682B4,0
23,1,1,43.6578,-3.0519,-3.0519,0,All,#4682B4,0
24,1,1,43.0144,-3.00306,-3.00306,0,All,#4682B4,0
25,1,1,40.9902,-2.84447,-2.84447,0,All,#4682B4,0
26,1,1,43.4006,-3.03247,-3.03247,0,All,#4682B4,0
27,1,1,41.3798,-2.8756,-2.8756,0,All,#4682B4,0
28,1,1,42.8302,-2.98894,-2.98894,0,All,#4682B4,0
29,1,1,40.0662,-2.76947,-2.76947,0,All,#4682B4,0
30,1,1,43.654,-3.05162,-3.05162,0,All,#4682B4,0
31,1,1,39.4968,-2.72237,-2.72237,0,All,#4682B4,0
32,1,1,40.7952,-2.82879,-2.82879,0,All,#4682B4,0
33,1,1,40.8783,-2.83548,-2.83548,0,All,#4682B4,0
34,1,1,39.5181,-2.72415,-2.72415,0,All,#4682B4,0
35,1,1,45.5087,-3.18851,-3.18851,0,All,#4682B4,0
36,1,1,42.3291,-2.95022,-2.95022,0,All,#4682B4,0
37,1,1,41.2631,-2.86631,-2.86631,0,All,#4682B4,0
38,1,1,40.8294,-2.83154,-2.83154,0,All,#4682B4,0
39,1,1,42.1695,-2.93779,-2.93779,0,All,#4682B4,0
40,1,1,41.1177,-2.85469,-2.85469,0,All,#4682B4,0
