rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,2,1,20.4328,-1.10739,-1.10739,0,All,#4682B4,0
2,2,1,20.0081,-1.0239,-1.0239,0,All,#4682B4,0
3,2,1,22.4201,-1.47628,-1.47628,0,All,#4682B4,0
4,2,1,22.1355,-1.4255,-1.4255,0,All,#4682B4,0
5,2,1,19.9902,-1.02036,-1.02036,0,All,#4682B4,0
6,2,1,20.2865,-1.07882,-1.07882,0,All,#4682B4,0
7,2,1,22.1608,-1.43004,-1.43004,0,All,#4682B4,0
8,2,1,21.3509,-1.28206,-1.28206,0,All,#4682B4,0
9,2,1,20.3334,-1.088,-1.088,0,All,#4682B4,0
10,2,1,20.1609,-1.05414,-1.05414,0,All,#4682B4,0
11,2,1,21.2213,-1.25787,-1.25787,0,All,#4682B4,0
12,2,1,21.5685,-1.32238,-1.32238,0,All,#4682B4,0
13,2,1,20.8179,-1.1816,-1.1816,0,All,#4682B4,0
14,2,1,20.9095,-1.19904,-1.19904,0,All,#4682B4,0
15,2,1,19.8405,-0.990481,-0.990481,0,All,#4682B4,0
16,2,1,20.6872,-1.15656,-1.15656,0,All,#4682B4,0
17,2,1,20.3443,-1.09014,-1.09014,0,All,#4682B4,0
18,2,1,19.9635,-1.01503,-1.01503,0,All,#4682B4,0
19,2,1,21.2562,-1.2644,-1.2644,0,All,#4682B4,0
20,2,1,21.7119,-1.34871,-1.34871,0,All,#4682B4,0
21,2,1,20.1472,-1.05145,-1.05145,0,All,#4682B4,0
22,2,1,22.2638,-1.44848,-1.44848,0,All,#4682B4,0
23,2,1,21.4003,-1.29125,-1.29125,0,All,#4682B4,0
24,2,1,22.6755,-1.5213,-1.5213,0,All,#4682B4,0
25,2,1,20.1695,-1.05584,-1.05584,0,All,#4682B4,0
26,2,1,22.0488,-1.40991,-1.40991,0,All,#4682B4,0
27,2,1,20.3308,-1.0875,-1.0875,0,All,#4682B4,0
28,2,1,22.4673,-1.48464,-1.48464,0,All,#4682B4,0
29,2,1,20.1104,-1.04417,-1.04417,0,All,#4682B4,0
30,2,1,20.4839,-1.11731,-1.11731,0,All,#4682B4,0
31,2,1,19.832,-0.988774,-0.988774,0,All,#4682B4,0
32,2,1,22.0615,-1.41219,-1.41219,0,All,#4682B4,0
33,2,1,21.0625,-1.22802,-1.22802,0,All,#4682B4,0
34,2,1,21.9745,-1.3965,-1.3965,0,All,#4682B4,0
35,2,1,20.2502,-1.07171,-1.07171,0,All,#4682B4,0
36,2,1,22.4644,-1.48412,-1.48412,0,All,#4682B4,0
37,2,1,19.7972,-0.98178,-0.98178,0,All,#4682B4,0
38,2,1,23.29,-1.62756,-1.62756,0,All,#4682B4,0
39,2,1,23.7202,-1.70032,-1.70032,0,All,#4682B4,0
40,2,1,21.0365,-1.22311,-1.22311,0,All,#4682B4,0
41,2,1,21.7435,-1.35448,-1.35448,0,All,#4682B4,0
42,2,1,22.0837,-1.4162,-1.4162,0,All,#4682B4,0
43,2,1,22.6125,-1.51025,-1.51025,0,All,#4682B4,0
44,2,1,20.8064,-1.17941,-1.17941,0,All,#4682B4,0
45,2,1,21.966,-1.39495,-1.39495,0,All,#4682B4,0
46,2,1,22.4344,-1.47881,-1.47881,0,All,#4682B4,0
47,2,1,19.6501,-0.952155,-0.952155,0,All,#4682B4,0
48,2,1,21.6197,-1.33179,-1.33179,0,All,#4682B4,0
49,2,1,21.7373,-1.35336,-1.35336,0,All,#4682B4,0
50,2,1,22.1689,-1.4315,-1.4315,0,All,#4682B4,0
1,2,2,30.3851,-0.115067,-0.115067,0,All,#4682B4,0
2,2,2,29.8085,-0.0389167,-0.0389167,0,All,#4682B4,0
3,2,2,32.2198,-0.348089,-0.348089,0,All,#4682B4,0
4,2,2,31.5092,-0.259444,-0.259444,0,All,#4682B4,0
5,2,2,29.8624,-0.0461042,-0.0461042,0,All,#4682B4,0
6,2,2,30.083,-0.0753603,-0.0753603,0,All,#4682B4,0
7,2,2,31.8518,-0.30243,-0.30243,0,All,#4682B4,0
8,2,2,30.1721,-0.0871089,-0.0871089,0,All,#4682B4,0
9,2,2,30.4508,-0.123656,-0.123656,0,All,#4682B4,0
10,2,2,30.4992,-0.129968,-0.129968,0,All,#4682B4,0
11,2,2,30.0565,-0.0718466,-0.0718466,0,All,#4682B4,0
12,2,2,31.1213,-0.210223,-0.210223,0,All,#4682B4,0
13,2,2,30.8531,-0.175818,-0.175818,0,All,#4682B4,0
14,2,2,29.5806,-0.00841462,-0.00841462,0,All,#4682B4,0
15,2,2,30.7891,-0.167566,-0.167566,0,All,#4682B4,0
16,2,2,29.2782,0.0324243,0.0324243,0,All,#4682B4,0
17,2,2,30.6578,-0.150578,-0.150578,0,All,#4682B4,0
18,2,2,28.4376,0.148202,0.148202,0,All,#4682B4,0
19,2,2,30.3025,-0.104249,-0.104249,0,All,#4682B4,0
20,2,2,30.9375,-0.186673,-0.186673,0,All,#4682B4,0
21,2,2,29.3323,0.0250824,0.0250824,0,All,#4682B4,0
22,2,2,31.4007,-0.245736,-0.245736,0,All,#4682B4,0
23,2,2,30.6621,-0.151134,-0.151134,0,All,#4682B4,0
24,2,2,32.4583,-0.377398,-0.377398,0,All,#4682B4,0
25,2,2,29.5218,-0.000509316,-0.000509316,0,All,#4682B4,0
26,2,2,31.1997,-0.220213,-0.220213,0,All,#4682B4,0
27,2,2,30.7249,-0.159271,-0.159271,0,All,#4682B4,0
28,2,2,32.2284,-0.349147,-0.349147,0,All,#4682B4,0
29,2,2,30.2263,-0.0942371,-0.0942371,0,All,#4682B4,0
30,2,2,29.14,0.0512297,0.0512297,0,All,#4682B4,0
31,2,2,29.7632,-0.0328738,-0.0328738,0,All,#4682B4,0
32,2,2,31.349,-0.239187,-0.239187,0,All,#4682B4,0
33,2,2,31.9659,-0.31664,-0.31664,0,All,#4682B4,0
34,2,2,31.3283,-0.236568,-0.236568,0,All,#4682B4,0
35,2,2,31.032,-0.198798,-0.198798,0,All,#4682B4,0
36,2,2,32.1305,-0.337059,-0.337059,0,All,#4682B4,0
37,2,2,30.6427,-0.148627,-0.148627,0,All,#4682B4,0
38,2,2,33.8651,-0.546028,-0.546028,0,All,#4682B4,0
39,2,2,35.0712,-0.685119,-0.685119,0,All,#4682B4,0
40,2,2,29.5951,-0.0103675,-0.0103675,0,All,#4682B4,0
41,2,2,30.9819,-0.192379,-0.192379,0,All,#4682B4,0
42,2,2,31.3183,-0.23529,-0.23529,0,All,#4682B4,0
