rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,1,42.1223,-2.56013,-2.56013,0,All,#4682B4,0
2,1,1,41.1163,-2.51145,-2.51145,0,All,#4682B4,0
3,1,1,43.877,-2.64014,-2.64014,0,All,#4682B4,0
4,1,1,43.3918,-2.61862,-2.61862,0,All,#4682B4,0
5,1,1,44.1698,-2.65292,-2.65292,0,All,#4682B4,0
6,1,1,43.0127,-2.60148,-2.60148,0,All,#4682B4,0
7,1,1,47.0861,-2.77222,-2.77222,0,All,#4682B4,0
8,1,1,41.7988,-2.54472,-2.54472,0,All,#4682B4,0
9,1,1,40.8125,-2.49632,-2.49632,0,All,#4682B4,0
10,1,1,41.7565,-2.54268,-2.54268,0,All,#4682B4,0
1,1,2,56.1379,-1.98381,-1.98381,0,All,#4682B4,0
2,1,2,55.5208,-1.9552,-1.9552,0,All,#4682B4,0
3,1,2,57.2468,-2.03377,-2.03377,0,All,#4682B4,0
4,1,2,53.7314,-1.86877,-1.86877,0,All,#4682B4,0
5,1,2,56.5589,-2.00299,-2.00299,0,All,#4682B4,0
6,1,2,55.86,-1.971,-1.971,0,All,#4682B4,0
7,1,2,57.9051,-2.06258,-2.06258,0,All,#4682B4,0
8,1,2,57.2305,-2.03305,-2.03305,0,All,#4682B4,0
9,1,2,52.6043,-1.81153,-1.81153,0,All,#4682B4,0
10,1,2,53.2089,-1.84252,-1.84252,0,All,#4682B4,0
1,1,4,37.6917,-2.06454,-2.06454,0,All,#4682B4,0
2,1,4,34.6404,-1.85277,-1.85277,0,All,#4682B4,0
3,1,4,34.3859,-1.83359,-1.83359,0,All,#4682B4,0
4,1,4,33.6342,-1.77539,-1.77539,0,All,#4682B4,0
5,1,4,34.2074,-1.81998,-1.81998,0,All,#4682B4,0
6,1,4,34.9231,-1.87379,-1.87379,0,All,#4682B4,0
7,1,4,33.4635,-1.76185,-1.76185,0,All,#4682B4,0
8,1,4,35.9871,-1.95024,-1.95024,0,All,#4682B4,0
9,1,4,35.6588,-1.92709,-1.92709,0,All,#4682B4,0
10,1,4,35.1998,-1.89408,-1.89408,0,All,#4682B4,0
1,1,6,30.6637,-2.45421,-2.45421,0,All,#4682B4,0
2,1,6,27.4155,-2.21718,-2.21718,0,All,#4682B4,0
3,1,6,28.6182,-2.31047,-2.31047,0,All,#4682B4,0
4,1,6,29.7007,-2.38872,-2.38872,0,All,#4682B4,0
