ID,DD,II,Tinf
1,1000,6,2
2,1000,6,4
3,1000,8,2
4,1000,8,4
5,1000,12,2
6,1000,12,4
7,1000,24,24
8,1500,6,2
9,1500,6,4
10,1500,8,2
11,1500,8,4
12,1500,12,2
13,1500,12,4
14,1500,24,24
15,2000,6,2
16,2000,6,4
17,2000,8,2
18,2000,8,4
19,2000,12,2
20,2000,12,4
21,2000,24,24
22,2500,6,2
23,2500,6,4
24,2500,8,2
25,2500,8,4
26,2500,12,2
27,2500,12,4
28,2500,24,24
29,3000,6,2
30,3000,6,4
31,3000,8,2
32,3000,8,4
33,3000,12,2
34,3000,12,4
35,3000,24,24
36,3500,6,2
37,3500,6,4
38,3500,8,2
39,3500,8,4
40,3500,12,2
41,3500,12,4
42,3500,24,24
43,4000,6,2
44,4000,6,4
45,4000,8,2
46,4000,8,4
47,4000,12,2
48,4000,12,4
49,4000,24,24
