rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,1,41.2809,-2.52119,-2.52119,0,All,#4682B4,0
2,1,1,43.6886,-2.63304,-2.63304,0,All,#4682B4,0
3,1,1,45.2703,-2.70053,-2.70053,0,All,#4682B4,0
4,1,1,42.4158,-2.57536,-2.57536,0,All,#4682B4,0
5,1,1,42.1154,-2.56129,-2.56129,0,All,#4682B4,0
6,1,1,41.2204,-2.51822,-2.51822,0,All,#4682B4,0
7,1,1,46.5452,-2.75184,-2.75184,0,All,#4682B4,0
8,1,1,42.5129,-2.57988,-2.57988,0,All,#4682B4,0
9,1,1,41.3625,-2.52517,-2.52517,0,All,#4682B4,0
10,1,1,42.3183,-2.57082,-2.57082,0,All,#4682B4,0
1,1,2,55.0147,-1.93087,-1.93087,0,All,#4682B4,0
2,1,2,57.9849,-2.06529,-2.06529,0,All,#4682B4,0
3,1,2,58.3216,-2.07972,-2.07972,0,All,#4682B4,0
4,1,2,54.9427,-1.92744,-1.92744,0,All,#4682B4,0
5,1,2,56.0576,-1.97959,-1.97959,0,All,#4682B4,0
6,1,2,53.8174,-1.87275,-1.87275,0,All,#4682B4,0
7,1,2,56.8558,-2.01575,-2.01575,0,All,#4682B4,0
8,1,2,56.8662,-2.01621,-2.01621,0,All,#4682B4,0
9,1,2,52.7294,-1.81781,-1.81781,0,All,#4682B4,0
10,1,2,53.3798,-1.8509,-1.8509,0,All,#4682B4,0
1,1,4,35.982,-1.9521,-1.9521,0,All,#4682B4,0
2,1,4,33.5953,-1.77481,-1.77481,0,All,#4682B4,0
3,1,4,33.7801,-1.78934,-1.78934,0,All,#4682B4,0
4,1,4,33.8484,-1.79467,-1.79467,0,All,#4682B4,0
5,1,4,35.2243,-1.89816,-1.89816,0,All,#4682B4,0
6,1,4,35.3802,-1.90944,-1.90944,0,All,#4682B4,0
7,1,4,31.9888,-1.64212,-1.64212,0,All,#4682B4,0
8,1,4,34.4104,-1.83785,-1.83785,0,All,#4682B4,0
9,1,4,35.4082,-1.91145,-1.91145,0,All,#4682B4,0
10,1,4,34.0999,-1.81416,-1.81416,0,All,#4682B4,0
1,1,6,29.1918,-2.35728,-2.35728,0,All,#4682B4,0
2,1,6,26.9285,-2.1825,-2.1825,0,All,#4682B4,0
3,1,6,28.3823,-2.2976,-2.2976,0,All,#4682B4,0
4,1,6,28.3688,-2.29658,-2.29658,0,All,#4682B4,0
5,1,6,28.1957,-2.28341,-2.28341,0,All,#4682B4,0
6,1,6,29.6302,-2.38839,-2.38839,0,All,#4682B4,0
7,1,6,28.056,-2.27268,-2.27268,0,All,#4682B4,0
8,1,6,27.9062,-2.26107,-2.26107,0,All,#4682B4,0
9,1,6,30.6447,-2.45733,-2.45733,0,All,#4682B4,0
10,1,6,29.6186,-2.38758,-2.38758,0,All,#4682B4,0
1,1,8.25,25.1748,-2.39422,-2.39422,0,All,#4682B4,0
2,1,8.25,23.2598,-2.22885,-2.22885,0,All,#4682B4,0
3,1,8.25,24.813,-2.36468,-2.36468,0,All,#4682B4,0
4,1,8.25,24.9538,-2.37627,-2.37627,0,All,#4682B4,0
5,1,8.25,24.4701,-2.33598,-2.33598,0,All,#4682B4,0
6,1,8.25,25.9197,-2.45278,-2.45278,0,All,#4682B4,0
7,1,8.25,24.4649,-2.33554,-2.33554,0,All,#4682B4,0
8,1,8.25,23.6227,-2.26197,-2.26197,0,All,#4682B4,0
9,1,8.25,27.0981,-2.53962,-2.53962,0,All,#4682B4,0
10,1,8.25,25.5972,-2.42779,-2.42779,0,All,#4682B4,0
1,2,1,19.627,-0.842639,-0.842639,0,All,#4682B4,0
2,2,1,21.2952,-1.10155,-1.10155,0,All,#4682B4,0
3,2,1,21.3725,-1.11271,-1.11271,0,All,#4682B4,0
4,2,1,21.7874,-1.17147,-1.17147,0,All,#4682B4,0
5,2,1,22.039,-1.20618,-1.20618,0,All,#4682B4,0
6,2,1,21.1159,-1.0754,-1.0754,0,All,#4682B4,0
7,2,1,19.1528,-0.76215,-0.76215,0,All,#4682B4,0
8,2,1,20.8245,-1.03207,-1.03207,0,All,#4682B4,0
9,2,1,21.0209,-1.06138,-1.06138,0,All,#4682B4,0
10,2,1,19.9985,-0.903463,-0.903463,0,All,#4682B4,0
1,2,2,29.6367,-0.0168077,-0.0168077,0,All,#4682B4,0
2,2,2,30.6477,-0.155311,-0.155311,0,All,#4682B4,0
3,2,2,31.6733,-0.287719,-0.287719,0,All,#4682B4,0
4,2,2,30.7546,-0.169473,-0.169473,0,All,#4682B4,0
5,2,2,32.597,-0.400572,-0.400572,0,All,#4682B4,0
6,2,2,32.513,-0.390541,-0.390541,0,All,#4682B4,0
7,2,2,29.6839,-0.0234595,-0.0234595,0,All,#4682B4,0
8,2,2,30.5011,-0.135731,-0.135731,0,All,#4682B4,0
9,2,2,30.9112,-0.190072,-0.190072,0,All,#4682B4,0
10,2,2,30.0788,-0.0784014,-0.0784014,0,All,#4682B4,0
1,2,4,15.6989,0.224193,0.224193,0,All,#4682B4,0
2,2,4,14.4556,0.562854,0.562854,0,All,#4682B4,0
3,2,4,15.9483,0.161399,0.161399,0,All,#4682B4,0
4,2,4,14.1764,0.645363,0.645363,0,All,#4682B4,0
5,2,4,15.9432,0.162685,0.162685,0,All,#4682B4,0
6,2,4,17.4534,-0.186015,-0.186015,0,All,#4682B4,0
7,2,4,17.5488,-0.206387,-0.206387,0,All,#4682B4,0
8,2,4,15.113,0.378208,0.378208,0,All,#4682B4,0
9,2,4,15.4072,0.29968,0.29968,0,All,#4682B4,0
10,2,4,16.6073,0.00294563,0.00294563,0,All,#4682B4,0
1,2,6,9.99258,0.0846121,0.0846121,0,All,#4682B4,0
2,2,6,9.9685,0.0930787,0.0930787,0,All,#4682B4,0
3,2,6,10.3208,-0.0278804,-0.0278804,0,All,#4682B4,0
4,2,6,10.0235,0.0738011,0.0738011,0,All,#4682B4,0
5,2,6,10.4816,-0.0811037,-0.0811037,0,All,#4682B4,0
6,2,6,10.6818,-0.145694,-0.145694,0,All,#4682B4,0
7,2,6,11.2835,-0.329428,-0.329428,0,All,#4682B4,0
8,2,6,10.1378,0.0341685,0.0341685,0,All,#4682B4,0
9,2,6,10.4118,-0.0581478,-0.0581478,0,All,#4682B4,0
10,2,6,10.8568,-0.200668,-0.200668,0,All,#4682B4,0
1,2,8,7.24583,0.665905,0.665905,0,All,#4682B4,0
2,2,8,7.49102,0.547902,0.547902,0,All,#4682B4,0
3,2,8,7.69911,0.451735,0.451735,0,All,#4682B4,0
4,2,8,7.72699,0.439119,0.439119,0,All,#4682B4,0
5,2,8,7.73078,0.437405,0.437405,0,All,#4682B4,0
6,2,8,7.39494,0.593522,0.593522,0,All,#4682B4,0
7,2,8,7.90628,0.359419,0.359419,0,All,#4682B4,0
8,2,8,7.65683,0.470991,0.470991,0,All,#4682B4,0
9,2,8,7.7428,0.431989,0.431989,0,All,#4682B4,0
10,2,8,8.00125,0.31819,0.31819,0,All,#4682B4,0
1,2,10,5.64317,0.903643,0.903643,0,All,#4682B4,0
2,2,10,5.71187,0.862603,0.862603,0,All,#4682B4,0
3,2,10,6.09689,0.643225,0.643225,0,All,#4682B4,0
4,2,10,6.03318,0.678332,0.678332,0,All,#4682B4,0
5,2,10,5.89735,0.754722,0.754722,0,All,#4682B4,0
6,2,10,5.61068,0.923264,0.923264,0,All,#4682B4,0
7,2,10,5.96885,0.714246,0.714246,0,All,#4682B4,0
8,2,10,5.98742,0.703828,0.703828,0,All,#4682B4,0
9,2,10,5.89281,0.757316,0.757316,0,All,#4682B4,0
10,2,10,6.30569,0.531318,0.531318,0,All,#4682B4,0
1,2,11.5,4.78876,1.23271,1.23271,0,All,#4682B4,0
2,2,11.5,4.66861,1.31816,1.31816,0,All,#4682B4,0
3,2,11.5,5.19702,0.959615,0.959615,0,All,#4682B4,0
4,2,11.5,5.01775,1.07638,1.07638,0,All,#4682B4,0
5,2,11.5,4.84458,1.19383,1.19383,0,All,#4682B4,0
6,2,11.5,4.74195,1.26571,1.26571,0,All,#4682B4,0
7,2,11.5,5.0204,1.07462,1.07462,0,All,#4682B4,0
8,2,11.5,5.01166,1.08044,1.08044,0,All,#4682B4,0
9,2,11.5,4.81956,1.2112,1.2112,0,All,#4682B4,0
10,2,11.5,5.39435,0.836401,0.836401,0,All,#4682B4,0
1,3,1,20.6767,-0.404193,-0.404193,0,All,#4682B4,0
2,3,1,21.5097,-0.546858,-0.546858,0,All,#4682B4,0
3,3,1,20.5376,-0.379406,-0.379406,0,All,#4682B4,0
4,3,1,21.2068,-0.496089,-0.496089,0,All,#4682B4,0
5,3,1,21.7793,-0.591041,-0.591041,0,All,#4682B4,0
6,3,1,21.9178,-0.613372,-0.613372,0,All,#4682B4,0
7,3,1,21.9872,-0.624467,-0.624467,0,All,#4682B4,0
8,3,1,21.4265,-0.533039,-0.533039,0,All,#4682B4,0
9,3,1,20.4277,-0.359641,-0.359641,0,All,#4682B4,0
