rep,ID,eta_V_simulated,eta_Cl_simulated,split,color,filter
1,1,0.0475416,-0.18403,All,#4682B4,0
2,1,-0.104202,-0.182903,All,#4682B4,0
3,1,-0.166976,-0.147649,All,#4682B4,0
4,1,-0.0469327,-0.25273,All,#4682B4,0
5,1,-0.203893,-0.191027,All,#4682B4,0
6,1,-0.155291,-0.190821,All,#4682B4,0
7,1,-0.0116763,-0.211867,All,#4682B4,0
8,1,0.265695,-0.219882,All,#4682B4,0
9,1,-0.101263,-0.167539,All,#4682B4,0
10,1,0.0298302,-0.154787,All,#4682B4,0
1,2,0.0672762,0.132068,All,#4682B4,0
2,2,0.162673,0.10297,All,#4682B4,0
3,2,0.0287639,0.152338,All,#4682B4,0
4,2,0.171595,0.140634,All,#4682B4,0
5,2,0.0920876,0.188511,All,#4682B4,0
6,2,0.124806,0.205972,All,#4682B4,0
7,2,0.0600388,0.125268,All,#4682B4,0
8,2,0.138986,0.205326,All,#4682B4,0
9,2,0.166841,0.215877,All,#4682B4,0
10,2,0.304534,0.218333,All,#4682B4,0
1,3,0.0368502,0.118743,All,#4682B4,0
2,3,0.15069,0.160568,All,#4682B4,0
3,3,0.170961,0.13889,All,#4682B4,0
4,3,0.0837576,0.16606,All,#4682B4,0
5,3,0.104891,0.147509,All,#4682B4,0
6,3,0.114183,0.12481,All,#4682B4,0
7,3,0.254085,0.22913,All,#4682B4,0
8,3,0.159928,0.15236,All,#4682B4,0
9,3,0.0584422,0.193191,All,#4682B4,0
10,3,-0.0351162,0.0722137,All,#4682B4,0
1,4,-0.321882,-0.282701,All,#4682B4,0
2,4,-0.175353,-0.146229,All,#4682B4,0
3,4,-0.249432,-0.146031,All,#4682B4,0
4,4,-0.216933,-0.0974825,All,#4682B4,0
5,4,-0.0814461,-0.0883772,All,#4682B4,0
6,4,0.0013507,-0.0536029,All,#4682B4,0
7,4,-0.0850625,-0.105357,All,#4682B4,0
8,4,0.0394178,-0.0481184,All,#4682B4,0
9,4,-0.130915,-0.100292,All,#4682B4,0
10,4,-0.0761075,-0.0786888,All,#4682B4,0
1,5,-0.0168181,-0.0911595,All,#4682B4,0
2,5,0.0420442,-0.0815556,All,#4682B4,0
3,5,0.0315317,-0.0715094,All,#4682B4,0
4,5,-0.021409,-0.136138,All,#4682B4,0
5,5,0.14476,-0.0641905,All,#4682B4,0
6,5,0.105813,-0.143423,All,#4682B4,0
7,5,0.135166,0.0169752,All,#4682B4,0
8,5,0.155092,-0.0171634,All,#4682B4,0
9,5,-0.0869508,-0.0574386,All,#4682B4,0
10,5,0.159138,-0.0418037,All,#4682B4,0
1,6,0.110623,0.121013,All,#4682B4,0
2,6,0.289813,0.136707,All,#4682B4,0
3,6,0.172564,0.0924841,All,#4682B4,0
