rep,ID,standEta_fi_simulated,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
0,1,-2.45592,-2.50707,-0.595574,-0.412306,0.0826524,0
1,1,-1.82498,-2.77731,-0.82517,0.59419,0.731896,0
2,1,-2.88355,-2.5319,-2.58797,-0.381486,-0.940086,0
3,1,-2.25611,-2.35698,-0.828071,-0.454507,-0.657481,0
4,1,-2.07921,-2.72779,0.7446,-0.508396,0.355422,0
5,1,-2.22046,-2.93427,-0.742822,-0.824821,0.88187,0
6,1,-2.54096,-2.60007,-1.27392,-0.405434,-0.47703,0
7,1,-2.07769,-2.89559,-1.50339,-0.204586,0.552643,0
8,1,-3.04804,-2.2336,-2.02139,-1.05096,-0.970513,0
9,1,-2.47136,-2.84055,-0.60255,-0.337771,0.570993,0
0,2,-0.349509,0.804406,0.46161,-1.00201,-0.705025,0
1,2,0.348424,1.04934,0.396273,0.431818,-0.57893,0
2,2,1.02161,0.878675,0.490003,-0.715532,0.393977,0
3,2,0.437177,1.17603,0.136138,0.0353289,-0.0150632,0
4,2,0.373411,1.17521,1.35537,0.0901654,0.107583,0
5,2,0.855031,1.18907,-0.190153,0.0190269,-0.26489,0
6,2,0.910733,0.857381,1.16491,-0.174489,1.26872,0
7,2,0.0344739,1.04668,-0.414649,0.500503,0.0411427,0
8,2,0.783914,0.970087,0.255117,-0.231837,-0.741548,0
9,2,0.382861,1.0282,0.568138,0.026035,0.832788,0
0,3,-0.401232,0.606583,-0.0680133,-0.461312,0.0918457,0
1,3,-0.00768928,0.85179,0.238171,0.257816,-0.181035,0
2,3,0.228082,0.270807,0.617519,-0.432672,1.35283,0
3,3,-0.216248,0.158061,-0.511716,-0.105374,1.5272,0
4,3,-0.578956,0.519267,-0.283432,-0.37012,0.352487,0
5,3,0.15688,-0.0139484,-0.815083,-0.312851,1.51692,0
6,3,0.202303,0.632339,-0.400311,0.240613,1.04952,0
7,3,-0.176045,0.648344,0.495857,0.197772,1.38344,0
8,3,0.00313566,0.733929,2.3346,-0.144568,0.940624,0
9,3,-0.420993,0.294361,0.211809,-0.367063,1.15662,0
0,4,1.02347,0.239963,0.270491,-0.193331,0.41966,0
1,4,1.45538,-0.0387659,-0.797056,-0.514613,-1.41398,0
2,4,0.761728,-0.112624,-0.318919,-0.694071,0.772937,0
3,4,0.940319,-0.0476546,0.995947,-0.915222,-0.131528,0
4,4,0.889927,0.0794279,-1.36933,0.0532136,-1.12563,0
5,4,1.01035,-0.0612738,-0.00326633,-1.06877,0.128721,0
6,4,0.593238,-0.0950542,-0.997534,-0.24772,-0.419381,0
7,4,1.15203,0.103148,-0.235213,-0.592443,0.315211,0
8,4,0.846777,-0.319168,-1.00046,-0.280477,1.14522,0
9,4,1.03448,0.0805467,0.393956,-0.548132,-0.410632,0
0,5,-1.12713,-0.344188,-0.164672,-0.124035,-0.771099,0
1,5,-0.830853,-0.588775,0.618772,-0.095605,0.56622,0
2,5,-0.287323,-0.39008,0.895957,0.194835,0.764845,0
3,5,-0.261812,-0.47668,0.412714,-0.478513,0.353342,0
4,5,-0.817183,-0.547884,0.402104,0.0141989,-0.0836366,0
5,5,-0.848411,-0.344411,0.176989,0.502876,0.58065,0
6,5,-0.408506,-0.368578,-0.84614,0.155724,-0.187263,0
7,5,-0.983112,-0.424138,-0.895469,0.518823,-0.291171,0
8,5,-0.552831,-0.394804,-0.366373,0.618251,-0.0931816,0
9,5,-0.315524,-0.29376,1.38072,0.0285707,-0.965375,0
0,6,-0.3356,0.418739,2.71935,0.809193,0.237665,0
1,6,-0.123426,0.777572,-1.31983,2.47964,0.709884,0
2,6,-0.368175,0.653856,0.418979,2.24084,0.0984223,0
3,6,0.529493,0.683746,0.228869,2.36848,-0.0697752,0
4,6,-0.0984738,0.440431,-0.647706,1.4665,-0.410919,0
5,6,-0.684208,0.606229,0.489824,1.96061,0.451982,0
6,6,0.0355172,0.816154,-0.735235,2.17978,0.42596,0
7,6,-0.379298,0.476512,-0.0273085,1.93728,-0.459168,0
8,6,0.139663,0.684919,2.43699,1.08463,-0.0450712,0
9,6,-0.303029,0.633403,2.12105,2.0285,-0.333202,0
0,7,-1.14371,-0.330172,-1.22448,-2.20404,1.53292,0
1,7,-0.998583,0.0249042,-1.4892,-4.18265,0.0808268,0
2,7,-0.872018,0.318371,-1.72427,0.45925,-2.75086,0
3,7,-0.670911,0.654467,-0.258396,3.07478,-2.39972,0
4,7,-0.857466,-0.369923,-0.661635,-2.34811,2.21825,0
5,7,-0.778599,-0.274096,-1.17016,-3.29689,1.76103,0
6,7,-0.470038,0.228952,-1.82903,0.269597,-2.82743,0
7,7,-0.563737,0.566082,-0.489763,0.328196,-2.98487,0
8,7,-0.868845,0.140545,-0.84968,-2.75679,0.921677,0
9,7,-0.826709,-0.00740355,0.235644,-2.32097,1.79855,0
0,8,-0.737457,0.884885,-0.181,-1.06,0.0430425,0
1,8,-1.27874,0.657416,-1.08329,-0.536478,0.967116,0
2,8,-0.949346,1.0456,0.408383,-0.813664,-0.678282,0
3,8,-0.794792,1.2235,1.53447,-0.206266,0.862958,0
4,8,-0.654453,1.16697,-0.0371839,-0.325724,-0.372973,0
5,8,-0.888998,1.00662,-1.52467,-0.371084,-0.620635,0
6,8,-0.87549,1.0292,-1.07465,-0.538428,-0.311557,0
7,8,-0.881181,0.666756,-0.600678,-0.989056,1.11507,0
8,8,-0.56547,1.28732,-0.925274,-0.249119,-0.0048814,0
9,8,-0.965086,0.866344,-0.142112,-0.842662,0.0500489,0
0,9,0.205277,0.0128286,-0.400557,0.62554,0.44238,0
1,9,0.790343,0.0605765,-1.01766,0.353312,-0.0132294,0
2,9,0.120658,0.071076,-0.631586,0.571153,-0.246989,0
3,9,0.556517,-0.301573,-1.94011,0.739375,-0.0872357,0
4,9,0.319016,0.0743088,0.566041,0.978727,-0.361761,0
5,9,0.594553,0.232862,-0.47689,1.14699,-0.214602,0
6,9,0.565668,-0.0436333,0.7797,-0.129701,0.524988,0
7,9,0.29978,-0.0736248,-0.181344,1.02804,-0.357482,0
8,9,0.273682,0.00863599,0.614528,0.0419617,0.711264,0
9,9,0.409474,-0.207788,-0.971104,1.04111,0.620804,0
0,10,0.731473,-1.34742,-0.659993,-0.863016,-0.123724,0
1,10,0.451313,-1.30687,-1.55933,0.179597,-0.0618459,0
2,10,0.14711,-1.4533,0.967943,-0.540295,0.291504,0
3,10,0.534333,-1.33079,-0.989776,-0.408228,-0.78744,0
4,10,0.653106,-1.26032,-0.400175,-0.665842,-0.226935,0
5,10,0.582761,-1.27716,-1.92192,-0.243981,-0.422917,0
6,10,0.600405,-2.05349,-0.27516,-0.979432,0.992555,0
7,10,0.493233,-1.1839,-0.205904,-0.744156,-0.713318,0
8,10,0.746146,-1.09147,-1.07146,0.7795,-0.941813,0
9,10,1.00633,-1.60949,-0.696928,-1.62713,0.376676,0
0,11,0.813103,0.937216,1.23824,0.738358,-0.492039,0
1,11,1.12128,0.905963,0.318569,0.600285,-0.879315,0
2,11,1.03422,0.793154,0.88074,0.302492,-0.137758,0
3,11,0.83986,0.835495,1.38085,0.426721,-1.2772,0
4,11,1.5739,0.987082,1.29542,0.618799,-0.288438,0
5,11,0.894063,0.699452,-1.25229,0.784145,-0.969519,0
6,11,0.465688,0.30576,1.25549,-2.19427,0.0835292,0
7,11,1.32243,0.701731,1.17298,-0.406337,-0.681717,0
8,11,1.22707,1.05169,-0.455556,1.10731,-0.539031,0
9,11,1.18131,0.790746,1.15,-0.453386,-0.722973,0
0,12,0.4518,-0.048006,-0.48223,1.15376,-0.162693,0
1,12,0.809312,0.065069,1.14797,0.483364,-0.383006,0
2,12,0.426707,-0.0213995,1.36317,0.35485,-0.264727,0
3,12,0.348704,-0.0716853,1.37911,0.380943,0.198982,0
4,12,0.708183,-0.0415598,0.26917,1.15402,-0.209838,0
5,12,-0.0701683,-1.39972,0.153922,0.299035,1.76288,0
6,12,0.752624,-0.128022,0.904996,0.637385,0.852051,0
7,12,0.705024,-0.116775,0.216521,-0.0380825,0.00168292,0
8,12,0.125267,-0.298637,1.10682,0.238642,0.0832024,0
9,12,0.59186,0.107683,0.686485,0.826692,0.120248,0
0,13,1.27934,0.147838,-0.951603,0.368959,0.321855,0
1,13,0.527646,-0.206766,-0.793504,-0.379775,0.59185,0
2,13,1.40307,0.3384,3.01497,0.18593,0.534692,0
3,13,1.30931,0.178573,0.614174,0.217538,-0.330081,0
4,13,1.21926,0.349036,0.902577,0.425433,-0.120171,0
5,13,0.907705,0.0196463,0.0160836,0.327373,-0.029398,0
6,13,1.08033,0.055279,0.903283,0.203755,0.349573,0
7,13,0.85518,0.345692,1.30177,0.63553,0.19086,0
8,13,1.38685,0.283179,1.06225,0.794474,0.696382,0
9,13,0.831986,-0.0402726,0.507414,-0.94971,-0.224223,0
0,14,-0.44245,0.749347,-0.298833,-1.3383,-0.430597,0
1,14,-0.568332,0.540507,-0.769436,-1.57619,-1.43298,0
2,14,-0.492126,0.5662,-0.585856,-1.15551,0.500791,0
3,14,-0.575576,0.676132,-1.01548,1.25617,-1.65279,0
4,14,-0.522934,0.801402,-0.538743,-0.857525,-1.61497,0
5,14,0.074575,0.481664,0.508792,-1.75932,1.03808,0
6,14,-0.577217,-0.601087,-0.413419,-0.707954,2.22231,0
7,14,-0.648369,0.548678,-0.934072,-0.86395,-0.458132,0
8,14,-0.429662,0.648828,0.583144,-1.23341,-1.83357,0
9,14,-0.259245,1.01448,-0.289151,0.379981,-1.47559,0
