rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
1,1,-0.673287,-0.222643,0.263118,-0.516918,All,#4682B4,0
2,1,-0.670021,-0.173984,0.0829428,-0.343206,All,#4682B4,0
3,1,-0.649824,-0.227745,0.0207581,-0.560548,All,#4682B4,0
4,1,-0.624683,-0.193365,0.328851,-0.764833,All,#4682B4,0
5,1,-0.606626,-0.470689,0.75387,-0.608676,All,#4682B4,0
6,1,-0.63965,-0.350805,0.507427,-0.479221,All,#4682B4,0
7,1,-0.594239,-0.589103,0.381912,-0.709554,All,#4682B4,0
8,1,-0.7508,-0.277428,0.348861,-0.189696,All,#4682B4,0
9,1,-0.581721,-0.144899,0.118123,-0.912392,All,#4682B4,0
10,1,-0.757169,-0.283538,0.140874,-0.133142,All,#4682B4,0
1,2,0.389533,-0.0496394,0.407823,-1.19328,All,#4682B4,0
2,2,0.404153,0.13511,0.0194193,-0.77046,All,#4682B4,0
3,2,0.275827,0.0750554,-0.189588,0.116014,All,#4682B4,0
4,2,0.378131,0.153462,0.0130386,-1.0476,All,#4682B4,0
5,2,0.321961,0.11077,-0.296922,-1.3618,All,#4682B4,0
6,2,0.33081,0.0256317,-0.0267588,-0.725566,All,#4682B4,0
7,2,0.324461,-0.0359973,-0.16638,-1.21503,All,#4682B4,0
8,2,0.297117,0.127356,-0.087389,0.0675551,All,#4682B4,0
9,2,0.296162,-0.00402875,-0.369917,-0.938222,All,#4682B4,0
10,2,0.33726,-0.180265,0.346472,-1.08957,All,#4682B4,0
1,3,0.30873,0.0952052,0.0469344,0.0542827,All,#4682B4,0
2,3,0.096753,0.0626657,0.283869,0.819644,All,#4682B4,0
3,3,0.0396922,0.0302239,0.142638,1.05004,All,#4682B4,0
4,3,0.0624366,0.200485,0.370045,1.18171,All,#4682B4,0
5,3,0.311772,0.0521845,0.121776,-0.344957,All,#4682B4,0
6,3,0.120838,0.231176,0.203582,1.02259,All,#4682B4,0
7,3,0.283331,0.0278115,0.0272677,-0.324111,All,#4682B4,0
8,3,0.279717,0.104749,0.219881,0.157786,All,#4682B4,0
9,3,0.228838,0.195061,0.108476,0.373145,All,#4682B4,0
10,3,0.286761,0.0872315,-0.0579725,-0.783629,All,#4682B4,0
1,4,0.1445,-0.195737,0.678773,-2.06552,All,#4682B4,0
2,4,0.0698145,-0.0915242,-0.330564,-0.0434162,All,#4682B4,0
3,4,0.0724498,-0.208275,-0.26337,-1.8551,All,#4682B4,0
4,4,-0.0567031,-0.161397,-0.569313,0.396586,All,#4682B4,0
5,4,0.13617,-0.417829,0.528914,-1.81253,All,#4682B4,0
6,4,0.030852,0.00547212,-0.472753,0.290748,All,#4682B4,0
7,4,0.142396,-0.183566,0.43443,-2.0127,All,#4682B4,0
8,4,0.126013,-0.32446,0.328894,-1.62111,All,#4682B4,0
9,4,0.0796264,-0.0853541,-0.645107,-0.314666,All,#4682B4,0
10,4,0.0768232,-0.160993,-0.507175,-1.27709,All,#4682B4,0
1,5,-0.14536,0.0483787,0.210174,0.344316,All,#4682B4,0
2,5,-0.0117432,0.0571332,0.349522,-0.419625,All,#4682B4,0
3,5,-0.163202,0.240336,0.0415877,0.437534,All,#4682B4,0
4,5,-0.250287,-0.00857674,0.387035,0.708869,All,#4682B4,0
5,5,-0.00298981,0.0870878,0.22492,-0.469164,All,#4682B4,0
6,5,-0.00887935,-0.00137388,0.316908,-0.680985,All,#4682B4,0
7,5,0.0210763,-0.19772,1.23048,-1.12236,All,#4682B4,0
8,5,-0.0326302,0.0693603,-0.137345,-1.34518,All,#4682B4,0
9,5,-0.11903,0.0616015,0.038427,0.191807,All,#4682B4,0
10,5,-0.0483634,0.0524767,0.584102,-0.13878,All,#4682B4,0
1,6,-0.104779,0.577728,0.618152,1.18882,All,#4682B4,0
2,6,0.237734,0.479949,0.324718,-0.356431,All,#4682B4,0
3,6,0.232014,0.492124,0.259619,-0.569938,All,#4682B4,0
4,6,0.111103,0.724175,0.889161,0.795188,All,#4682B4,0
5,6,-0.195704,0.565358,0.126807,1.27094,All,#4682B4,0
6,6,0.272269,0.460719,0.626232,-0.368219,All,#4682B4,0
7,6,0.267215,0.50044,0.666685,-0.486694,All,#4682B4,0
8,6,0.231653,0.455624,0.647041,0.0652259,All,#4682B4,0
9,6,0.00877352,0.546772,0.556638,0.929889,All,#4682B4,0
10,6,0.239159,0.490852,0.314832,-0.265067,All,#4682B4,0
1,7,0.171769,-0.568833,-0.556808,0.0878066,All,#4682B4,0
2,7,0.225371,-0.501879,-0.229818,0.366151,All,#4682B4,0
3,7,0.15471,-0.66662,-0.67396,-0.0525594,All,#4682B4,0
