rep,ID,eta_V_simulated,eta_Cl_simulated,split,color,filter
1,1,-0.0885962,-0.718965,All,#4682B4,0
2,1,-0.337284,-0.690329,All,#4682B4,0
3,1,-0.323337,-0.646207,All,#4682B4,0
4,1,-0.261212,-0.679931,All,#4682B4,0
5,1,-0.337572,-0.670196,All,#4682B4,0
6,1,-0.296072,-0.701465,All,#4682B4,0
7,1,-0.365134,-0.667809,All,#4682B4,0
8,1,-0.236016,-0.689891,All,#4682B4,0
9,1,-0.394884,-0.682708,All,#4682B4,0
10,1,-0.241525,-0.65813,All,#4682B4,0
1,2,0.316487,0.0196256,All,#4682B4,0
2,2,0.0965135,0.42595,All,#4682B4,0
3,2,0.118865,0.178164,All,#4682B4,0
4,2,-0.174408,0.242596,All,#4682B4,0
5,2,-0.0615284,0.329411,All,#4682B4,0
6,2,-0.00157778,0.344432,All,#4682B4,0
7,2,0.0651704,0.24626,All,#4682B4,0
8,2,0.00658142,0.291914,All,#4682B4,0
9,2,0.171647,0.229345,All,#4682B4,0
10,2,0.215594,0.355707,All,#4682B4,0
1,3,0.0357083,0.143712,All,#4682B4,0
2,3,0.144446,0.0713031,All,#4682B4,0
3,3,-0.00855293,0.140976,All,#4682B4,0
4,3,0.0185427,0.143646,All,#4682B4,0
5,3,0.122694,0.13184,All,#4682B4,0
6,3,0.0710731,0.241583,All,#4682B4,0
7,3,0.0662789,-0.025236,All,#4682B4,0
8,3,0.20151,0.208405,All,#4682B4,0
9,3,-0.073531,0.210786,All,#4682B4,0
10,3,-0.0426903,0.164396,All,#4682B4,0
1,4,-0.187571,-0.0641318,All,#4682B4,0
2,4,-0.120352,-0.0382553,All,#4682B4,0
3,4,-0.232865,0.0155621,All,#4682B4,0
4,4,-0.34357,0.0301459,All,#4682B4,0
5,4,-0.203627,-0.0805596,All,#4682B4,0
6,4,-0.101441,0.0375487,All,#4682B4,0
7,4,-0.107288,0.0799644,All,#4682B4,0
8,4,-0.0355763,-0.00416641,All,#4682B4,0
9,4,-0.221119,0.0929801,All,#4682B4,0
10,4,-0.266614,-0.12836,All,#4682B4,0
1,5,0.0167594,-0.115853,All,#4682B4,0
2,5,0.0554547,-0.110835,All,#4682B4,0
3,5,0.0935818,-0.179526,All,#4682B4,0
4,5,0.0804178,-0.164812,All,#4682B4,0
5,5,0.171739,-0.103542,All,#4682B4,0
6,5,0.135431,-0.237296,All,#4682B4,0
7,5,-0.0590347,-0.107989,All,#4682B4,0
8,5,0.300985,-0.0849912,All,#4682B4,0
9,5,0.0534388,-0.185797,All,#4682B4,0
10,5,0.270795,-0.100632,All,#4682B4,0
1,6,0.391602,0.110788,All,#4682B4,0
2,6,0.454778,-0.0462607,All,#4682B4,0
3,6,0.686811,-0.00596972,All,#4682B4,0
4,6,0.540947,0.171258,All,#4682B4,0
5,6,0.341346,-6.36238e-05,All,#4682B4,0
6,6,0.534153,0.185767,All,#4682B4,0
7,6,0.703123,0.074832,All,#4682B4,0
8,6,0.275121,0.13791,All,#4682B4,0
9,6,0.584759,0.18064,All,#4682B4,0
10,6,0.254709,0.206382,All,#4682B4,0
1,7,-0.568541,0.204641,All,#4682B4,0
2,7,-0.426935,0.153157,All,#4682B4,0
3,7,-0.293831,0.108388,All,#4682B4,0
4,7,-0.527738,0.153727,All,#4682B4,0
5,7,-0.48128,0.0270521,All,#4682B4,0
6,7,-0.424583,0.0833346,All,#4682B4,0
7,7,-0.387045,0.0990846,All,#4682B4,0
8,7,-0.343091,0.274311,All,#4682B4,0
9,7,-0.601633,0.0995126,All,#4682B4,0
10,7,-0.339461,0.0293124,All,#4682B4,0
1,8,-0.0964114,0.232522,All,#4682B4,0
2,8,0.155463,0.141959,All,#4682B4,0
3,8,0.018647,0.148613,All,#4682B4,0
4,8,-0.132523,0.192318,All,#4682B4,0
5,8,0.121907,0.0849022,All,#4682B4,0
6,8,0.0229443,0.330692,All,#4682B4,0
7,8,0.01473,0.375812,All,#4682B4,0
8,8,-0.200298,0.291279,All,#4682B4,0
9,8,-0.0993482,0.363285,All,#4682B4,0
10,8,0.173172,0.231387,All,#4682B4,0
1,9,-0.00824051,-0.0172402,All,#4682B4,0
2,9,0.182295,0.0590983,All,#4682B4,0
3,9,0.0727572,0.0313071,All,#4682B4,0
4,9,0.0985733,-0.10018,All,#4682B4,0
5,9,0.311837,-0.0856882,All,#4682B4,0
6,9,0.0689253,-0.135321,All,#4682B4,0
7,9,-0.0190249,-0.049889,All,#4682B4,0
8,9,-0.047064,0.00618129,All,#4682B4,0
9,9,-0.07612,-0.226052,All,#4682B4,0
10,9,0.0337793,-0.0926625,All,#4682B4,0
1,10,-0.290729,-0.373468,All,#4682B4,0
2,10,-0.232989,-0.336887,All,#4682B4,0
3,10,-0.266599,-0.505122,All,#4682B4,0
4,10,-0.126493,-0.455105,All,#4682B4,0
5,10,-0.212194,-0.399479,All,#4682B4,0
6,10,-0.277948,-0.429825,All,#4682B4,0
7,10,-0.199287,-0.485111,All,#4682B4,0
8,10,-0.296256,-0.4262,All,#4682B4,0
9,10,-0.48142,-0.32755,All,#4682B4,0
10,10,-0.222322,-0.337258,All,#4682B4,0
1,11,0.400763,0.400462,All,#4682B4,0
2,11,0.154718,0.232314,All,#4682B4,0
3,11,-0.0472174,0.388169,All,#4682B4,0
4,11,0.0699865,0.31306,All,#4682B4,0
5,11,0.100062,0.178353,All,#4682B4,0
6,11,0.0187977,0.0920494,All,#4682B4,0
7,11,0.389505,0.000204323,All,#4682B4,0
8,11,-0.00459344,0.289866,All,#4682B4,0
9,11,0.107364,0.0581346,All,#4682B4,0
10,11,0.414047,0.138918,All,#4682B4,0
1,12,0.40027,-0.0545694,All,#4682B4,0
2,12,0.286713,-0.0122641,All,#4682B4,0
3,12,0.200279,-0.0478754,All,#4682B4,0
4,12,0.450145,-0.0461937,All,#4682B4,0
5,12,0.191767,-0.0712367,All,#4682B4,0
6,12,0.278523,-0.118096,All,#4682B4,0
7,12,0.296195,-0.149975,All,#4682B4,0
8,12,0.147957,-0.045958,All,#4682B4,0
9,12,0.344221,-0.0470093,All,#4682B4,0
10,12,0.183435,-0.15781,All,#4682B4,0
1,13,0.0281477,0.157228,All,#4682B4,0
2,13,0.0599943,0.0128757,All,#4682B4,0
3,13,0.0980081,0.0728113,All,#4682B4,0
4,13,0.100099,0.136812,All,#4682B4,0
5,13,-0.0280203,0.0482179,All,#4682B4,0
6,13,0.189901,0.177172,All,#4682B4,0
7,13,-0.0762546,-0.105146,All,#4682B4,0
8,13,0.01721,0.0435423,All,#4682B4,0
9,13,0.315984,-0.020176,All,#4682B4,0
10,13,0.0578815,0.0401809,All,#4682B4,0
1,14,0.0368635,0.200977,All,#4682B4,0
2,14,-0.252836,0.157358,All,#4682B4,0
3,14,-0.14787,0.116935,All,#4682B4,0
4,14,-0.0270569,0.291717,All,#4682B4,0
5,14,-0.0167545,0.12455,All,#4682B4,0
6,14,0.0581147,0.102364,All,#4682B4,0
7,14,-0.0238569,0.0756973,All,#4682B4,0
8,14,-0.0959291,0.15347,All,#4682B4,0
9,14,-0.17823,0.0994254,All,#4682B4,0
10,14,0.051711,0.185067,All,#4682B4,0
