rep,ID,standEta_fi_simulated,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
0,1,-2.60148,-2.64265,-1.7896,0.174971,-0.0521009,0
1,1,-2.76374,-2.34125,-2.90745,0.371837,0.0514794,0
2,1,-3.12026,-2.60053,-1.16583,-0.433351,0.423407,0
3,1,-3.41002,-2.7071,-1.78672,0.026158,0.301178,0
4,1,-2.92933,-2.48207,-2.49765,0.165298,0.3146,0
5,1,-3.40736,-2.5047,-2.59182,1.01047,0.0306131,0
6,1,-2.57662,-2.92386,-1.80281,-0.209955,0.739822,0
7,1,-2.70418,-2.62108,-1.73795,0.0932032,0.498589,0
8,1,-2.41764,-2.67045,-1.03065,-0.620632,0.189882,0
9,1,-2.642,-2.51069,-1.64391,-0.401139,0.490215,0
0,2,0.131579,0.785874,0.573441,-1.54743,-0.471154,0
1,2,-0.0689156,0.953445,0.616086,-1.5254,0.72247,0
2,2,0.349946,1.00643,-0.505839,-0.0923472,-0.790223,0
3,2,0.214945,0.783719,0.953195,-0.153068,-0.640389,0
4,2,0.0274395,0.760933,0.500053,-1.77267,0.966504,0
5,2,-0.116374,0.897077,-0.431315,0.947427,-0.357709,0
6,2,0.273994,1.08708,0.810037,-0.0702978,1.06488,0
7,2,-0.562496,0.799161,0.0517345,-0.654678,-0.597058,0
8,2,-0.384621,0.562408,-0.300275,-0.913194,-0.434802,0
9,2,-0.144863,0.549224,-0.557138,1.19222,-0.549119,0
0,3,0.0333606,0.56744,0.0786365,-1.51925,0.613169,0
1,3,0.47394,0.888924,0.515597,-1.05713,0.0121765,0
2,3,-0.285789,0.864875,0.325127,-0.682497,-0.331111,0
3,3,0.0288317,1.07362,0.0402697,-0.750413,0.889605,0
4,3,0.404497,0.955542,-0.0545633,0.807066,0.0725822,0
5,3,0.433321,1.03415,0.379321,0.146668,0.617401,0
6,3,0.0251881,0.814178,-0.1947,0.284478,0.697964,0
7,3,-0.16523,0.673775,-0.601608,0.343567,-0.492658,0
8,3,-0.0431776,0.75909,0.995461,-0.861857,0.529642,0
9,3,-0.1492,0.725357,0.678168,0.115755,-0.447281,0
0,4,0.954751,-0.0058622,-0.399286,1.01746,0.443387,0
1,4,0.741548,-0.216883,-0.342859,0.165399,1.10193,0
2,4,0.755651,-0.133643,-0.391917,-1.15053,0.51298,0
3,4,1.20201,0.0195676,-0.229647,-0.374102,0.201429,0
4,4,0.666349,-0.0342825,-0.957324,0.817091,-0.0745478,0
5,4,0.183462,-0.267787,-0.709405,-0.787255,0.146936,0
6,4,0.819741,0.0238955,-1.91863,-0.0182983,-0.478644,0
7,4,1.00027,0.0938782,-1.59864,0.673596,-0.291675,0
8,4,0.965441,0.060529,-0.0616765,-0.864236,0.957464,0
9,4,1.29884,0.129822,-0.646527,-0.822827,-1.04382,0
0,5,-0.320513,-0.500799,0.516836,0.177428,0.0541348,0
1,5,-0.172469,-1.04381,0.829506,-1.29014,1.5241,0
2,5,-0.298017,-0.316314,-0.00631775,0.303446,-0.174622,0
3,5,0.120195,-0.281926,-0.510533,1.77619,0.205197,0
4,5,0.0486139,0.010668,-0.433541,0.0776042,0.585466,0
5,5,-0.295615,-0.383378,-0.151977,-0.053339,0.000744646,0
6,5,-0.456951,-0.291175,-0.739031,0.771442,0.383625,0
7,5,-0.22761,-0.163507,-0.162388,-0.998206,-0.514164,0
